,state,fy2000,fy2001,fy2002,fy2003,fy2004,fy2005,fy2006,fy2007,fy2008,fy2009,fy2010,fy2011,fy2012,fy2013,fy2014,fy2015,fy2016
1,Alabama,104,75,280,181,451,821,1368,1192,467,284,72,51,74,304,63,627,678
2,Alaska,0,2995,2114,2093,2182,2283,2267,3015,5601,7447,8935,14950,18160,15354,13860,7565,3269
3,Arizona,611,386,66,206,360,800,1697,1055,220,-478,-6,3,650,1350,1032,768,941
4,Arkansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,California,9139,3037,-2133,1607,3489,9634,10816,6915,2376,-5855,-5342,-3079,-1615,2527,5590,5305,9627
6,Colorado,798,470,138,225,346,336,909,516,327,444,137,446,855,1446,651,709,523
7,Connecticut,864,626,-222,-97,604,1030,1560,1651,1481,456,481,237,-51,271,519,406,406
8,Delaware,338,510,482,464,646,701,691,591,526,379,537,798,565,636,414,537,640
9,Florida,2156,1383,1925,1641,3423,4559,6059,4671,1666,905,1848,1025,2003,3601,3506,3679,3009
10,Georgia,2509,2602,2554,1268,869,1228,2017,2786,2217,1738,1138,1131,521,900,1055,1529,1529
11,Hawaii,278,370,184,117,239,540,786,555,404,23,41,126,299,868,748,918,1107
12,Idaho,218,238,54,16,100,230,411,377,381,128,31,69,124,215,206,289,347
13,Illinois,1517,1351,482,543,458,773,866,642,417,556,453,469,40,154,350,897,404
14,Indiana,1373,545,269,721,242,436,739,1285,1413,1329,831,1181,2155,1943,2005,2141,2277
15,Iowa,620,405,255,-46,329,392,541,611,640,519,709,995,1289,1539,1377,1109,892
16,Kansas,378,366,12,123,328,479,734,935,527,50,-27,188,503,709,380,72,35
17,Kentucky,454,240,24,168,250,498,800,811,301,47,80,290,212,245,157,298,587
18,Louisiana,-22,270,284,23,283,714,1508,1771,1642,930,536,633,113,605,624,353,359
19,Maine,445,183,34,29,48,81,94,152,131,52,0,19,87,68,105,145,192
20,Maryland,1518,1426,857,613,950,1695,2121,1717,1172,779,956,1614,1223,1202,912,1094,1334
21,Massachusetts,1905,3011,1388,752,1893,2487,3208,3634,2226,1858,903,1901,1990,1874,1450,1571,1350
22,Michigan,1476,1022,260,174,82,223,5,261,460,179,189,556,1344,1693,692,1193,764
23,Minnesota,2125,1574,1130,369,1269,2733,1813,2245,1920,447,440,1289,1795,1712,1886,2103,2560
24,Mississippi,274,208,119,64,44,72,108,507,401,341,262,241,153,86,151,441,400
25,Missouri,313,260,400,447,710,532,942,1020,1115,523,445,626,455,724,466,548,574
26,Montana,176,173,81,43,135,297,422,550,434,393,311,342,452,538,424,455,356
27,Nebraska,458,406,166,62,264,580,840,1095,1130,1000,764,815,928,1199,1393,1460,1018
28,Nevada,304,262,226,109,293,317,535,406,389,213,314,324,375,385,212,242,348
29,New Hampshire,24,55,-38,17,32,99,95,151,106,9,75,27,23,82,31,71,57
30,New Jersey,1284,1290,292,373,834,778,1779,2586,1303,614,804,870,444,310,296,817,785
31,New Mexico,192,449,320,245,447,688,798,651,735,389,850,501,713,651,638,613,490
32,New York,1167,1098,1032,815,1077,2546,3257,3045,2754,1948,2302,1376,1787,1610,2235,7300,5011
33,North Carolina,38,158,4,401,556,792,1378,2008,1386,242,387,878,813,975,920,1117,1278
34,North Dakota,60,102,20,21,77,169,296,496,653,687,638,1383,1680,1980,1671,1450,573
35,Ohio,1199,1218,536,234,338,713,1643,1228,2694,735,510,431,1221,3121,3178,3190,2831
36,Oklahoma,438,630,147,34,285,471,630,768,887,623,415,342,685,668,535,434,231
37,Oregon,373,363,-1068,93,-443,309,544,1437,627,113,-174,88,176,556,400,920,869
38,Pennsylvania,1708,1462,143,279,337,694,1026,1244,1325,-1275,-293,1073,659,541,81,206,100
39,Rhode Island,163,211,123,127,108,130,133,83,62,19,130,199,268,276,245,353,270
40,South Carolina,573,134,50,46,80,533,988,1081,324,121,356,712,956,1046,1163,1182,1011
41,South Dakota,37,111,116,107,158,134,137,133,107,107,107,107,183,159,149,171,143
42,Tennessee,217,209,190,242,762,737,1069,1550,1098,634,693,879,1125,1156,840,1329,1265
43,Texas,3851,4191,3330,649,1814,3746,7070,9020,11389,8703,9226,6148,6055,11676,13671,16802,14021
44,Utah,223,132,21,43,121,252,255,555,414,440,182,293,323,751,572,535,671
45,Vermont,41,47,13,24,45,46,52,55,58,60,57,54,58,74,71,76,78
46,Virginia,1228,716,611,86,614,1668,2442,1516,1328,736,427,841,978,1320,1167,591,245
47,Washington,1239,1061,553,405,500,870,703,1074,1093,210,-466,-91,-250,438,788,1504,1750
48,West Virginia,148,161,253,254,345,440,828,947,1131,954,1108,1452,1462,1427,1368,1289,1004
49,Wisconsin,836,208,54,-282,105,4,49,66,131,90,71,86,342,759,797,416,284
50,Wyoming,254,70,75,251,257,451,456,300,306,403,398,752,765,927,926,906,906
51,50-state median,441.5,378,175,177.5,333,536.5,814,983.5,646.5,398,392.5,485,543,755,672,793,675
