,state,fy2000,fy2001,fy2002,fy2003,fy2004,fy2005,fy2006,fy2007,fy2008,fy2009,fy2010,fy2011,fy2012,fy2013,fy2014,fy2015,fy2016
1,Alabama,7.279002876,5.25129484,19.19248826,12.07107619,30.02279774,49.51503635,71.72076989,54.57601606,19.79273107,13.40142211,3.524205445,2.529555646,3.555818852,15.48855388,3.074608905,29.71371072,31.69035728
2,Alaska,0,480.9392873,322.5794314,306.0677083,343.4368262,272.7643208,254.8367724,199.9046322,374.2202087,474.207083,493.9080721,1001.238532,945.1589904,720.0578183,690.823433,459.1328567,219.0133994
3,Arizona,37.09497671,22.11426778,3.800283956,12.47759708,20.16574586,38.70112657,70.64381843,37.74875012,8.000398525,-19.93031757,-0.278909832,0.13079312,28.17695962,58.22403403,42.79968185,30.24274463,36.9277497
4,Arkansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,California,50.16595482,14.20195252,-10.14364447,7.570209855,16.68328246,44.06307954,43.10245436,24.88808141,8.42095042,-23.49983506,-22.350952,-12.27577581,-6.822311467,9.5519459,20.40247988,17.13956309,30.27488907
6,Colorado,48.60981308,25.71964018,7.534779357,13.88888889,22.19898049,20.0621626,51.431561,26.7262665,16.04233871,21.94151097,7.445652174,23.47029988,43.27163062,66.70753286,27.11261981,26.80321077,18.7740952
7,Connecticut,28.89764501,19.11250523,-6.947612107,-2.92120462,17.39878463,27.44360902,39.12864211,39.0446417,33.1248851,9.903605855,10.20252208,4.827287946,-0.994869328,5.198938295,11.15636042,8.517156158,8.258010588
8,Delaware,54.92876224,76.63647592,71.69111654,69.01385493,92.32184808,90.66796598,79.28795976,63.63274336,56.10461718,41.97057039,63.7000325,89.04616325,57.41230512,63.44356382,39.82867686,51.13618576,59.3495935
9,Florida,42.41349574,25.15798654,36.65997078,29.19786487,58.30937602,68.08653846,85.01326209,60.42369578,21.94636928,13.96073708,31.78250012,15.72812881,31.40847188,53.1873179,47.54737311,47.94469437,37.41772281
10,Georgia,66.44790306,61.72689458,66.33530207,28.88112324,19.94121715,27.4594131,41.3505392,53.05420775,41.63005453,36.25592959,26.00776407,24.19215893,10.9693701,17.94101584,20.15149929,27.83466334,25.8085923
11,Hawaii,31.69946892,40.13372957,18.36980306,11.22044141,22.71744792,47.09677419,61.31438342,37.64634826,27.27205474,1.561860465,3.093220339,9.255383377,19.80312103,55.91599012,43.50916335,52.24855762,58.88297872
12,Idaho,47.33491969,47.4958994,9.954545455,3.03219107,18.36940111,39.78672986,67.63525699,53.39736127,49.77272727,15.78911795,4.513362585,10.27959184,17.89640174,29.09714498,27.03703704,35.92813351,41.22884115
13,Illinois,23.98652746,20.12960771,7.736927745,9.052893619,7.129392699,12.71840065,13.06534948,9.148155378,5.60545796,7.57323581,6.570435128,5.867523565,0.498599822,1.85560544,4.058261063,10.64281767,4.685881344
14,Indiana,55.88769934,21.38288724,10.08370135,25.52769425,7.855745286,13.48644068,22.56441359,38.29713399,40.51413983,37.25977418,23.55478761,33.03180077,57.27209844,49.77854987,50.28688243,52.32440576,55.0437115
15,Iowa,47.51207222,30.29821685,20.27336092,-3.705583756,26.58512287,31.0840756,39.32782314,41.41411328,39.67391304,31.92366026,48.84579086,67.95939371,78.36192538,87.59317012,77.77855153,57.36748866,45.42131696
16,Kansas,31.58653846,30.15575621,0.980743395,10.84944418,27.73222145,37.2782516,52.13271064,60.85502853,31.52327106,3.009564644,-1.870728929,12.10869949,30.10741227,42.18174409,23.18234999,4.213564214,2.029710836
17,Kentucky,25.30309971,12.44141457,1.236938718,8.541579607,12.51028242,23.61262666,34.61356093,33.6878343,11.62592593,1.873225595,3.454803597,12.04346342,8.201377848,9.386480529,5.809509327,10.76291312,20.94379277
18,Louisiana,-1.381861986,15.69267516,15.97965161,1.300139384,15.28032544,36.5665778,71.11369509,68.29529847,62.21633967,36.18098486,22.53138316,29.68966847,5.009108574,26.38606763,26.53617616,14.7538074,15.08056163
19,Maine,70.10142426,25.25330813,4.838206628,4.178839321,6.628830874,10.61961207,11.94637883,18.34656085,15.28124001,6.288933068,0,2.413853115,10.14536741,8.0532122,12.17053033,16.7166772,21.14665057
20,Maryland,61.41321215,50.87878788,28.5744953,21.62414226,33.82926829,54.92498224,62.72605737,44.21511218,29.62670545,19.87106017,25.98406434,44.50143526,29.88918647,29.04534922,21.25806246,24.96467646,29.3089749
21,Massachusetts,33.36812554,49.6370986,22.22017544,12.23227417,30.24094013,38.1746499,45.76587844,45.86004218,24.59482367,20.82192201,10.83338811,21.63055677,22.37815022,20.18085797,14.74357189,15.0439448,12.00511634
22,Michigan,56.2593985,38.38152073,10.3988604,7.270749857,3.420180551,9.416358168,0.20214887,10.60149121,16.98533131,7.726466414,8.953277093,24.69757819,59.49066214,69.81640493,28.12381695,47.31554928,28.19330705
23,Minnesota,67.58670268,45.22632449,32.33887408,9.693752699,34.05772059,68.65888912,42.57785356,51.3842729,41.21140841,9.676472333,10.97969508,30.68046951,39.51598311,33.34649661,35.57938805,37.82560489,45.77250906
24,Mississippi,28.45234708,20.99557522,12.13607153,6.755349913,4.472291841,7.145187602,9.137691238,42.32731016,28.44800777,24.97291332,22.13657407,19.42689929,11.62710806,6.616779089,10.17632939,29.09707158,25.8957077
25,Missouri,15.54353741,12.27684347,19.10244668,25.56486995,38.89972981,27.26864204,48.25684211,47.34231943,50.40562299,22.59379808,21.45640687,29.94234045,20.92151675,32.9336989,20.2850328,22.87511436,23.10941981
26,Montana,58.13574661,49.56436421,21.80309735,12.23304754,38.43603744,79.41758242,98.29610721,118.2969947,76.56355727,77.20398278,66.1509324,71.45392101,92.94647887,98.33249875,70.73126143,76.60285978,55.0127011
27,Nebraska,71.31825939,59.80225989,23.31281262,8.640702558,37.4068323,77.83088235,105.1440329,127.896,126.9858374,109.6425353,84.17144582,89.54695966,98.29367382,121.9378657,134.118966,132.2332506,87.03911923
28,Nevada,69.00497512,52.02937976,43.66860773,19.53117329,44.7655923,37.31215737,66.55589639,41.25556793,41.32275902,20.58379666,35.68181818,34.80282519,44.61375489,42.72575251,23.51261015,25.97177301,35.40133779
29,New Hampshire,8.521400778,18.88523048,-11.81431005,4.924603175,9.019305019,27.27169811,25.99325337,40.3477306,25.32068063,2.316643159,19.48398577,7.517162471,6.764705882,23.8106603,9.044764189,20.27777778,15.21945867
30,New Jersey,24.08448533,22.62505406,4.845206164,5.77668873,12.49425382,10.19860652,23.16323619,31.16794347,14.36322179,7.393441541,10.30407303,11.27343084,5.300755569,3.597202353,3.293199622,9.154693928,8.475817187
31,New Mexico,20.67256637,42.81217346,28.8466288,22.07479635,36.89620081,53.12460334,53.78947368,39.88836663,44.65296272,23.48412173,57.90406868,34.45732052,46.63888889,40.78527291,38.86997162,35.3691116,27.37639675
32,New York,11.45964487,10.09445368,9.137839018,7.908834711,9.345180078,21.30470666,25.56844822,21.54300169,18.82944647,13.02067501,16.09574346,9.070124429,11.54658429,9.96692673,13.32029783,42.39054346,25.19894466
33,North Carolina,1.001154901,4.289007883,0.106251365,10.56329388,13.80168662,18.2985188,29.47377674,39.27338978,24.65230739,4.494479214,7.630043753,17.31989407,15.15861259,17.24952741,16.04395604,19.72829769,21.46169772
34,North Dakota,28.33117723,45.2919708,8.468677494,8.912790698,31.43736018,68.23561947,111.8426501,178.8932806,197.9609635,202.712207,146.9211356,305.75106,275.8434548,307.1398215,188.4198332,161.8501529,57.26861993
35,Ohio,22.74137393,21.02582293,9.046099783,3.770361542,5.175133185,10.48064919,24.11706748,17.82328615,37.23248769,9.708852056,7.394240318,5.993409022,16.47133829,40.84053347,38.44524725,37.0081368,29.00696179
36,Oklahoma,35.17491749,47.71736875,10.69677033,2.667096497,21.36475662,34.76541962,41.55973251,44.80818414,50.21793082,34.75924794,29.59074038,23.04412036,42.94486431,38.84958572,30.04230769,24.73996564,13.2654185
37,Oregon,28.07692308,25.24195085,-67.67708333,8.782664942,-29.51177222,25.10796972,32.67401678,92.89851222,32.78724928,7.003735779,-9.968607754,5.315240774,9.276534296,30.11426028,18.97829195,41.23787302,35.81178729
38,Pennsylvania,32.30992485,26.86688148,2.5549464,4.991911765,5.620516335,10.9876811,15.18305291,17.25217523,17.93329131,-17.18265397,-3.869071307,13.82878429,8.84775252,7.120731312,1.041204437,2.579151374,1.194410812
39,Rhode Island,26.66741372,31.01691502,16.94150943,17.22593831,14.45544554,16.21113768,15.79726651,9.414232443,6.646108664,2.310896368,16.56773743,24.57205683,31.45337621,31.32462687,26.79802218,37.30312681,27.55102041
40,South Carolina,40.56342126,8.860507246,3.531346749,3.361361361,6.002055498,38.34910309,63.93971631,60.10129474,16.54217373,7.683542102,25.39378542,50.29610993,63.24814211,61.57903226,67.07141729,63.30594277,51.49525537
41,South Dakota,17.51621271,50.45454545,49.81176471,44.17986425,64.87064117,49.45399393,47.3532197,44.49587534,33.21003401,33.8725065,34.50088339,34.02003484,55.33968517,44.9535244,37.7149792,45.03246753,35.45855978
42,Tennessee,12.01349917,10.87455453,9.226982437,11.16123326,34.02201835,29.51881927,43.0477714,57.87131751,36.52328443,21.67775176,26.76383451,32.09633854,36.76470588,36.82492582,25.26367831,39.34184915,35.53370787
43,Texas,51.12628669,52.7433369,40.66410171,7.727198591,22.52841102,46.01965602,80.58930077,91.15147152,104.8499256,74.90026172,85.32851894,57.95955265,49.57881867,104.4134653,106.7041955,126.6935917,95.78261276
44,Utah,24.19589774,12.7866242,2.053308331,4.438631222,12.35730274,23.12217195,20.53729038,40.57992788,26.12551867,33.34025327,14.95834272,22.7059448,24.39879967,53.46498927,38.64864865,33.81970904,38.89391774
45,Vermont,17.50292398,19.47219069,5.441513761,9.864864865,17.95081967,16.17533719,17.05300988,17.30603448,17.64166667,19.10994764,19.12224265,16.96213425,16.936,20.41572184,18.6976912,19.41217635,19.21052632
46,Virginia,39.72877149,20.92058918,18.51822636,2.590361446,18.09235489,43.86627279,58.51693803,30.85424334,28.0785495,16.85002823,10.54000135,19.85928705,21.83169225,28.1162465,24.05845806,11.92190781,4.866401828
47,Washington,44.25,35.76844925,17.99937578,13.04261514,15.93608103,25.98608838,18.83819103,27.71563914,27.29508758,5.243894096,-11.31218409,-2.240774472,-5.972249493,10.32818658,17.88792835,32.92903845,35.10001099
48,West Virginia,20.46987495,21.70853343,32.78132765,31.60927378,41.7108314,47.09677419,84.84559236,93.39502837,109.8788927,87.48994975,109.986402,140.5037116,128.8961353,121.9515336,118.6596958,111.1206897,87.8379674
49,Wisconsin,27.07301925,6.853222603,1.75059952,-9.311561426,3.553876113,0.123102867,1.444085587,1.838229683,3.53504362,2.577683616,2.020820337,2.314043494,9.077885245,19.32847276,19.82451956,9.793601651,6.521137393
50,Wyoming,178.976834,35.38781163,37.91551247,116.2626904,207.0750552,126.7244034,134.0096618,60.06582556,61.60507446,84.05428571,83.01142857,173.721519,176.7246835,189.2365772,189.1382205,157.3964779,198.8514732
51,50-state median,31.64300369,25.24762949,10.54781537,9.373323159,19.15530913,32.92474761,43.07511288,41.3348406,29.03735661,16.31957309,16.33174044,22.16825078,23.38847495,33.1,25.89992724,31.58589154,29.15796835
