,state,fy2000,fy2001,fy2002,fy2003,fy2004,fy2005,fy2006,fy2007,fy2008,fy2009,fy2010,fy2011,fy2012,fy2013,fy2014,fy2015,fy2016
1,Alabama,0.019942474,0.014387109,0.05258216,0.033071442,0.08225424,0.135657634,0.19649526,0.149523332,0.05422666,0.036716225,0.009655357,0.006930289,0.009741969,0.042434394,0.008423586,0.081407427,0.086822897
2,Alaska,0,1.317641883,0.883779264,0.838541667,0.940922812,0.747299509,0.698182938,0.547683924,1.025260846,1.299197488,1.3531728,2.743119266,2.589476686,1.972761146,1.89266694,1.257898237,0.600036711
3,Arizona,0.101630073,0.060587035,0.010411737,0.034185197,0.055248619,0.106030484,0.193544708,0.103421233,0.0219189,-0.05460361,-0.000764137,0.000358337,0.07719715,0.159517901,0.117259402,0.082856835,0.101171917
4,Arkansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,California,0.137440972,0.038909459,-0.027790807,0.020740301,0.045707623,0.120720766,0.118088916,0.068186524,0.023071097,-0.06438311,-0.061235485,-0.033632263,-0.018691264,0.026169715,0.055897205,0.046957707,0.082944902
6,Colorado,0.13317757,0.070464768,0.020643231,0.03805175,0.060819125,0.054964829,0.140908386,0.073222648,0.043951613,0.060113729,0.020399047,0.064302191,0.118552413,0.182760364,0.07428115,0.073433454,0.051435877
7,Connecticut,0.07917163,0.052363028,-0.019034554,-0.0080033,0.047667903,0.07518797,0.107201759,0.106971621,0.09075311,0.027133167,0.027952115,0.013225446,-0.002725669,0.014243667,0.030565371,0.023334674,0.022624687
8,Delaware,0.15048976,0.209962948,0.196414018,0.189079055,0.25293657,0.248405386,0.217227287,0.174336283,0.15371128,0.114987864,0.174520637,0.243962091,0.157293987,0.173817983,0.109119663,0.140099139,0.162601626
9,Florida,0.116201358,0.068925991,0.100438276,0.07999415,0.159751715,0.186538462,0.232913047,0.165544372,0.060127039,0.038248595,0.087075343,0.043090764,0.086050608,0.145718679,0.130266776,0.131355327,0.102514309
10,Georgia,0.182049049,0.16911478,0.181740554,0.079126365,0.054633472,0.075231269,0.113289149,0.145353994,0.114054944,0.099331314,0.071254148,0.066279887,0.030053069,0.049153468,0.055209587,0.076259352,0.070708472
11,Hawaii,0.08684786,0.109955423,0.050328228,0.030740935,0.062239583,0.129032258,0.167984612,0.10314068,0.074717958,0.00427907,0.008474576,0.025357215,0.054255126,0.153194493,0.119203187,0.143146733,0.161323229
12,Idaho,0.129684711,0.130125752,0.027272727,0.008307373,0.050327126,0.109004739,0.185302074,0.14629414,0.136363636,0.043257857,0.012365377,0.028163265,0.049031238,0.079718205,0.074074074,0.098433243,0.112955729
